Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Icetime_seconds,Hits,Shots_blocked,Penalties_against,Rating,T1_Profile,T1_Year,T1_Goals,T1_Assists,T1_Plus,T1_Minus,T1_Penalties,T1_Shots,T1_Icetime_seconds,T1_Hits,T1_Shots_blocked,T1_Penalties_against,T1_Rating,predict
https://en.khl.ru/players/13167/,2014/2015,8,23,49,37,19,137,74895,42.0,50.0,10.0,207.04999999999998,https://en.khl.ru/players/13167/,2015/2016,6.0,6.0,27.0,33.0,18.0,100.0,57374.0,57.0,46.0,1.0,72.49,125.64244905174883
https://en.khl.ru/players/13167/,2015/2016,6,6,27,33,18,100,57374,57.0,46.0,1.0,72.49,https://en.khl.ru/players/13167/,2016/2017,3.0,6.0,14.0,21.0,29.0,61.0,47030.0,34.0,61.0,3.0,46.62,89.2592426802001
https://en.khl.ru/players/13167/,2016/2017,3,6,14,21,29,61,47030,34.0,61.0,3.0,46.62,https://en.khl.ru/players/13167/,2017/2018,2.0,12.0,34.0,16.0,10.0,54.0,50357.0,25.0,57.0,4.0,128.73,110.32167612581586
https://en.khl.ru/players/13167/,2017/2018,2,12,34,16,10,54,50357,25.0,57.0,4.0,128.73,https://en.khl.ru/players/13167/,2018/2019,3.0,4.0,17.0,25.0,36.0,91.0,51223.0,38.0,27.0,2.0,30.369999999999994,105.37520834475009
https://en.khl.ru/players/13252/,2014/2015,4,9,22,21,64,54,35705,44.0,19.0,0.0,44.65,https://en.khl.ru/players/13252/,2015/2016,1.0,4.0,38.0,24.0,74.0,67.0,60561.0,91.0,41.0,5.0,68.67999999999999,98.4659385752313
https://en.khl.ru/players/13252/,2015/2016,1,4,38,24,74,67,60561,91.0,41.0,5.0,68.67999999999999,https://en.khl.ru/players/13252/,2017/2018,0.0,3.0,10.0,13.0,30.0,38.0,33115.0,47.0,24.0,1.0,19.27,85.94146007443437
https://en.khl.ru/players/13252/,2017/2018,0,3,10,13,30,38,33115,47.0,24.0,1.0,19.27,https://en.khl.ru/players/13252/,2018/2019,4.0,6.0,30.0,23.0,58.0,41.0,53453.0,61.0,52.0,0.0,58.71,88.36713582257782
https://en.khl.ru/players/13252/,2018/2019,4,6,30,23,58,41,53453,61.0,52.0,0.0,58.71,https://en.khl.ru/players/13252/,2019/2020,3.0,3.0,19.0,15.0,20.0,31.0,27790.0,52.0,31.0,1.0,50.25,93.07737815206725
https://en.khl.ru/players/13252/,2019/2020,3,3,19,15,20,31,27790,52.0,31.0,1.0,50.25,https://en.khl.ru/players/13252/,2020/2021,1.0,2.0,16.0,20.0,34.0,35.0,34069.0,51.0,34.0,0.0,15.21,86.83194010812544
https://en.khl.ru/players/13256/,2014/2015,3,13,31,38,18,71,65829,78.0,87.0,7.0,111.22999999999999,https://en.khl.ru/players/13256/,2015/2016,0.0,4.0,21.0,12.0,4.0,27.0,34476.0,46.0,42.0,3.0,68.94,105.21225512988582
https://en.khl.ru/players/13256/,2015/2016,0,4,21,12,4,27,34476,46.0,42.0,3.0,68.94,https://en.khl.ru/players/13256/,2016/2017,0.0,6.0,30.0,15.0,19.0,42.0,41059.0,68.0,38.0,2.0,88.45,109.81059067531528
https://en.khl.ru/players/13256/,2016/2017,0,6,30,15,19,42,41059,68.0,38.0,2.0,88.45,https://en.khl.ru/players/13256/,2017/2018,0.0,6.0,23.0,11.0,33.0,23.0,23670.0,32.0,30.0,4.0,60.92,105.58689519929364
https://en.khl.ru/players/13256/,2017/2018,0,6,23,11,33,23,23670,32.0,30.0,4.0,60.92,https://en.khl.ru/players/13256/,2018/2019,1.0,3.0,18.0,6.0,7.0,36.0,29277.0,26.0,30.0,0.0,59.800000000000004,103.66057408743572
https://en.khl.ru/players/13256/,2018/2019,1,3,18,6,7,36,29277,26.0,30.0,0.0,59.800000000000004,https://en.khl.ru/players/13256/,2019/2020,0.0,2.0,12.0,11.0,8.0,32.0,32592.0,47.0,39.0,5.0,45.699999999999996,96.60823954940545
https://en.khl.ru/players/13256/,2019/2020,0,2,12,11,8,32,32592,47.0,39.0,5.0,45.699999999999996,https://en.khl.ru/players/13256/,2020/2021,2.0,4.0,21.0,35.0,14.0,81.0,58640.0,45.0,79.0,5.0,45.75,85.87795036811295
https://en.khl.ru/players/13256/,2020/2021,2,4,21,35,14,81,58640,45.0,79.0,5.0,45.75,https://en.khl.ru/players/13256/,2021/2022,3.0,0.0,16.0,12.0,8.0,49.0,35875.0,23.0,39.0,4.0,47.57,87.14681610629749
https://en.khl.ru/players/13285/,2014/2015,2,4,18,14,32,33,36936,34.0,21.0,2.0,39.199999999999996,https://en.khl.ru/players/13285/,2015/2016,1.0,7.0,23.0,25.0,38.0,66.0,54924.0,53.0,59.0,3.0,56.879999999999995,90.28705169826509
https://en.khl.ru/players/13285/,2015/2016,1,7,23,25,38,66,54924,53.0,59.0,3.0,56.879999999999995,https://en.khl.ru/players/13285/,2016/2017,0.0,3.0,10.0,14.0,36.0,56.0,36507.0,31.0,40.0,3.0,20.61,82.5512184147857
https://en.khl.ru/players/13332/,2015/2016,6,5,26,22,22,46,47807,17.0,38.0,3.0,64.91,https://en.khl.ru/players/13332/,2016/2017,0.0,0.0,6.0,13.0,6.0,14.0,20869.0,20.0,25.0,2.0,1.1199999999999999,83.1281767063635
https://en.khl.ru/players/13332/,2016/2017,0,0,6,13,6,14,20869,20.0,25.0,2.0,1.1199999999999999,https://en.khl.ru/players/13332/,2018/2019,0.0,1.0,5.0,12.0,4.0,18.0,21727.0,20.0,24.0,2.0,6.919999999999999,76.98194498703981
https://en.khl.ru/players/13446/,2014/2015,6,8,37,27,30,76,56420,61.0,56.0,5.0,113.09,https://en.khl.ru/players/13446/,2015/2016,5.0,4.0,26.0,23.0,41.0,44.0,39950.0,22.0,42.0,2.0,45.19,101.33938283205879
https://en.khl.ru/players/13446/,2015/2016,5,4,26,23,41,44,39950,22.0,42.0,2.0,45.19,https://en.khl.ru/players/13446/,2016/2017,7.0,5.0,15.0,19.0,45.0,85.0,54332.0,20.0,40.0,4.0,49.19,92.30511104458421
https://en.khl.ru/players/13446/,2016/2017,7,5,15,19,45,85,54332,20.0,40.0,4.0,49.19,https://en.khl.ru/players/13446/,2017/2018,5.0,16.0,37.0,36.0,28.0,80.0,61823.0,25.0,46.0,4.0,111.74,106.8100276799859
https://en.khl.ru/players/13446/,2017/2018,5,16,37,36,28,80,61823,25.0,46.0,4.0,111.74,https://en.khl.ru/players/13446/,2018/2019,2.0,9.0,17.0,20.0,14.0,43.0,51654.0,11.0,54.0,1.0,57.04,101.64117548276622
https://en.khl.ru/players/13446/,2018/2019,2,9,17,20,14,43,51654,11.0,54.0,1.0,57.04,https://en.khl.ru/players/13446/,2019/2020,4.0,6.0,14.0,30.0,18.0,39.0,39327.0,12.0,30.0,1.0,14.909999999999995,84.0359797351836
https://en.khl.ru/players/13483/,2014/2015,1,8,32,18,60,34,46840,97.0,55.0,1.0,83.12,https://en.khl.ru/players/13483/,2015/2016,0.0,6.0,25.0,19.0,87.0,46.0,52278.0,78.0,79.0,3.0,46.25,90.3883643887466
https://en.khl.ru/players/13483/,2015/2016,0,6,25,19,87,46,52278,78.0,79.0,3.0,46.25,https://en.khl.ru/players/13483/,2016/2017,2.0,14.0,42.0,38.0,102.0,51.0,65539.0,58.0,130.0,2.0,78.96000000000001,81.48483724708161
https://en.khl.ru/players/13483/,2016/2017,2,14,42,38,102,51,65539,58.0,130.0,2.0,78.96000000000001,https://en.khl.ru/players/13483/,2017/2018,6.0,6.0,19.0,20.0,82.0,58.0,44823.0,30.0,61.0,5.0,39.6,86.75148643965167
https://en.khl.ru/players/13483/,2017/2018,6,6,19,20,82,58,44823,30.0,61.0,5.0,39.6,https://en.khl.ru/players/13483/,2018/2019,0.0,5.0,18.0,23.0,22.0,39.0,40794.0,48.0,71.0,5.0,47.559999999999995,83.40017993023541
https://en.khl.ru/players/13483/,2018/2019,0,5,18,23,22,39,40794,48.0,71.0,5.0,47.559999999999995,https://en.khl.ru/players/13483/,2019/2020,1.0,4.0,8.0,15.0,39.0,25.0,25031.0,42.0,42.0,2.0,14.569999999999999,81.40993380747811
