Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Icetime_seconds,Hits,Shots_blocked,Penalties_against,Rating
https://en.khl.ru/players/14894/,2020/2021,4,14,35,27,75,42,54187,39.0,74.0,4.0,90.58999999999999
https://en.khl.ru/players/14981/,2015/2016,2,16,34,37,53,107,63850,67.0,59.0,5.0,103.47
https://en.khl.ru/players/14983/,2014/2015,4,12,26,18,32,79,42723,34.0,40.0,11.0,117.63
https://en.khl.ru/players/14983/,2015/2016,6,9,26,18,34,84,49518,44.0,47.0,13.0,119.32000000000001
https://en.khl.ru/players/14983/,2017/2018,2,11,27,32,39,85,55017,65.0,66.0,10.0,91.8
https://en.khl.ru/players/14983/,2020/2021,4,7,27,40,32,119,62448,47.0,56.0,6.0,61.25
https://en.khl.ru/players/150/,2014/2015,2,13,35,18,30,56,58670,64.0,50.0,7.0,134.99
https://en.khl.ru/players/15278/,2015/2016,3,17,31,35,39,136,78335,65.0,70.0,6.0,126.41999999999999
https://en.khl.ru/players/15278/,2016/2017,7,16,29,24,18,120,67193,49.0,43.0,9.0,155.07
https://en.khl.ru/players/15278/,2017/2018,2,9,14,20,12,75,44659,20.0,27.0,4.0,60.449999999999996
https://en.khl.ru/players/15279/,2015/2016,2,12,34,25,26,87,69103,71.0,106.0,13.0,149.9
https://en.khl.ru/players/15279/,2016/2017,6,8,28,38,24,96,75215,57.0,82.0,8.0,89.65
https://en.khl.ru/players/15282/,2014/2015,5,12,28,35,60,84,67846,41.0,48.0,5.0,67.86
https://en.khl.ru/players/15282/,2021/2022,5,6,10,17,23,51,37320,19.0,39.0,1.0,40.03
https://en.khl.ru/players/15299/,2014/2015,3,14,40,23,16,56,72886,57.0,60.0,9.0,154.32
https://en.khl.ru/players/15299/,2015/2016,8,12,37,23,22,69,67286,49.0,59.0,7.0,147.37
https://en.khl.ru/players/15299/,2016/2017,1,10,24,18,20,54,44051,17.0,52.0,5.0,84.86
https://en.khl.ru/players/15299/,2019/2020,8,16,35,24,10,88,75024,29.0,61.0,9.0,166.76999999999998
https://en.khl.ru/players/15299/,2020/2021,4,8,19,19,16,69,38303,17.0,26.0,6.0,73.78
https://en.khl.ru/players/15299/,2021/2022,5,12,33,33,18,78,54960,34.0,41.0,9.0,108.86
https://en.khl.ru/players/15317/,2014/2015,14,19,44,38,39,132,71807,38.0,40.0,4.0,168.22
https://en.khl.ru/players/15317/,2015/2016,8,32,49,49,16,164,91376,41.0,64.0,6.0,222.54
https://en.khl.ru/players/15317/,2016/2017,9,24,51,52,40,145,85462,42.0,61.0,6.0,172.48999999999998
https://en.khl.ru/players/15317/,2017/2018,7,24,44,48,37,148,71876,36.0,50.0,3.0,152.56
https://en.khl.ru/players/15317/,2018/2019,5,14,32,32,20,133,64486,39.0,58.0,3.0,122.48
https://en.khl.ru/players/15416/,2014/2015,2,18,27,36,24,77,75292,84.0,36.0,4.0,106.31
https://en.khl.ru/players/15416/,2015/2016,5,6,29,25,46,68,57036,55.0,42.0,9.0,80.45
https://en.khl.ru/players/15416/,2016/2017,4,14,23,31,30,88,65303,25.0,74.0,3.0,86.67
https://en.khl.ru/players/15416/,2017/2018,2,11,25,18,28,71,48002,40.0,36.0,2.0,90.48
https://en.khl.ru/players/15416/,2018/2019,3,11,26,29,16,102,58247,29.0,57.0,4.0,92.0
https://en.khl.ru/players/15416/,2019/2020,2,12,43,26,30,69,56819,25.0,69.0,9.0,131.23
https://en.khl.ru/players/15416/,2020/2021,6,30,45,26,18,123,71804,35.0,72.0,4.0,233.82
https://en.khl.ru/players/15416/,2021/2022,5,21,45,37,36,92,59544,31.0,65.0,7.0,157.04
https://en.khl.ru/players/15533/,2014/2015,4,9,31,30,12,58,59815,60.0,28.0,12.0,104.56
https://en.khl.ru/players/15533/,2016/2017,4,8,27,15,27,46,40068,40.0,34.0,3.0,90.83
https://en.khl.ru/players/15533/,2017/2018,9,11,23,28,26,83,52824,31.0,50.0,7.0,99.46000000000001
https://en.khl.ru/players/15564/,2015/2016,2,15,25,30,22,66,53532,73.0,78.0,2.0,104.09
https://en.khl.ru/players/15564/,2016/2017,4,17,46,22,16,100,63045,46.0,65.0,5.0,184.68
https://en.khl.ru/players/15564/,2017/2018,9,13,36,18,12,112,62544,36.0,63.0,4.0,169.37
https://en.khl.ru/players/15564/,2019/2020,5,7,36,18,10,115,59926,15.0,102.0,7.0,143.87
https://en.khl.ru/players/15564/,2020/2021,4,7,18,17,8,47,36386,15.0,54.0,2.0,70.22
https://en.khl.ru/players/15567/,2014/2015,5,14,39,43,39,79,73610,81.0,51.0,11.0,117.16
https://en.khl.ru/players/15567/,2015/2016,4,8,15,21,37,55,45527,34.0,45.0,3.0,50.09
https://en.khl.ru/players/15586/,2015/2016,3,10,28,24,40,32,56638,117.0,52.0,7.0,103.2
https://en.khl.ru/players/15586/,2017/2018,2,9,27,23,66,36,66746,76.0,68.0,7.0,74.17
https://en.khl.ru/players/15609/,2020/2021,6,16,39,44,28,126,71325,23.0,63.0,5.0,117.85
https://en.khl.ru/players/15609/,2021/2022,1,11,16,20,18,98,44985,30.0,31.0,2.0,71.85
https://en.khl.ru/players/15619/,2014/2015,6,6,32,14,66,64,57046,66.0,39.0,13.0,109.89
https://en.khl.ru/players/15644/,2016/2017,3,8,27,28,30,75,72297,34.0,67.0,4.0,73.85
https://en.khl.ru/players/15644/,2017/2018,8,5,18,23,30,79,49694,16.0,53.0,6.0,63.07
https://en.khl.ru/players/15644/,2018/2019,8,9,28,39,34,115,72608,27.0,79.0,8.0,86.5
https://en.khl.ru/players/15646/,2019/2020,3,8,26,18,48,60,63399,86.0,67.0,5.0,95.67
https://en.khl.ru/players/15646/,2020/2021,3,10,32,33,48,96,70581,90.0,59.0,7.0,96.55
https://en.khl.ru/players/15661/,2014/2015,7,8,27,34,20,69,58839,15.0,48.0,7.0,72.81
https://en.khl.ru/players/15661/,2016/2017,6,15,45,15,51,61,53600,24.0,40.0,8.0,159.13
https://en.khl.ru/players/15661/,2019/2020,8,8,33,33,40,123,75389,18.0,70.0,13.0,108.14
https://en.khl.ru/players/15661/,2020/2021,8,19,45,40,26,153,80425,27.0,86.0,8.0,176.15
https://en.khl.ru/players/15661/,2021/2022,2,14,45,39,18,81,63023,15.0,83.0,3.0,115.85
https://en.khl.ru/players/15732/,2015/2016,2,12,27,26,30,76,58325,45.0,52.0,7.0,96.75
https://en.khl.ru/players/15738/,2015/2016,1,10,20,24,61,42,40201,64.0,52.0,3.0,47.94
https://en.khl.ru/players/15787/,2014/2015,3,9,31,31,18,73,60097,27.0,48.0,15.0,100.22
https://en.khl.ru/players/15836/,2014/2015,0,14,32,29,20,36,48734,56.0,59.0,4.0,99.91999999999999
https://en.khl.ru/players/15836/,2015/2016,2,11,20,24,40,33,44154,38.0,46.0,1.0,52.26
https://en.khl.ru/players/15852/,2016/2017,3,12,34,30,38,117,74163,63.0,75.0,7.0,121.5
https://en.khl.ru/players/15910/,2017/2018,2,12,26,15,12,50,46780,8.0,41.0,2.0,99.3
https://en.khl.ru/players/15910/,2018/2019,2,17,44,16,18,70,66240,22.0,80.0,4.0,174.09
https://en.khl.ru/players/15910/,2019/2020,6,15,49,20,26,75,68359,11.0,77.0,4.0,172.47
https://en.khl.ru/players/15910/,2020/2021,7,17,47,33,18,127,75498,28.0,118.0,7.0,188.75
https://en.khl.ru/players/15910/,2021/2022,4,21,38,28,28,78,53599,35.0,53.0,4.0,152.06
https://en.khl.ru/players/15947/,2016/2017,6,8,21,19,26,80,46510,89.0,31.0,7.0,104.42999999999999
