Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Hits,Shots_blocked,Penalties_against,R
https://en.khl.ru/players/13946/,2019/2020,3,2,9,8,15,29,50.0,15.0,5.0,1.3048830529339353
https://en.khl.ru/players/13950/,2014/2015,4,5,13,8,6,59,24.0,8.0,7.0,2.2646420824295013
https://en.khl.ru/players/13950/,2015/2016,4,2,9,15,10,45,27.0,4.0,3.0,1.172093023255814
https://en.khl.ru/players/13950/,2016/2017,6,2,16,15,8,51,11.0,7.0,4.0,1.9609674105892239
https://en.khl.ru/players/13963/,2014/2015,5,7,20,12,21,64,93.0,27.0,19.0,2.175825933925286
https://en.khl.ru/players/13963/,2015/2016,4,10,16,12,14,40,55.0,23.0,14.0,2.0043985412432836
https://en.khl.ru/players/13963/,2016/2017,6,3,18,13,23,47,39.0,22.0,15.0,1.7061611374407581
https://en.khl.ru/players/13963/,2017/2018,4,11,24,16,20,48,50.0,37.0,10.0,1.8966709473476242
https://en.khl.ru/players/13963/,2018/2019,1,7,16,25,28,52,85.0,44.0,11.0,0.9378140002232891
https://en.khl.ru/players/13963/,2019/2020,8,4,18,17,35,52,57.0,21.0,5.0,1.5028996161071633
https://en.khl.ru/players/13963/,2020/2021,9,8,30,17,40,46,63.0,45.0,9.0,2.050553693881627
https://en.khl.ru/players/13963/,2021/2022,2,4,13,10,20,35,43.0,38.0,5.0,1.3594432756109402
https://en.khl.ru/players/13964/,2014/2015,12,18,30,29,30,90,55.0,13.0,15.0,2.388544734436884
https://en.khl.ru/players/13964/,2015/2016,2,9,10,13,2,35,17.0,6.0,6.0,1.5641772734243213
https://en.khl.ru/players/13964/,2016/2017,6,14,27,19,18,49,48.0,16.0,10.0,1.9801980198019802
https://en.khl.ru/players/13964/,2017/2018,9,18,30,22,24,81,32.0,18.0,7.0,2.4301336573511545
https://en.khl.ru/players/13964/,2018/2019,8,14,19,12,12,56,26.0,26.0,7.0,2.68289231640017
https://en.khl.ru/players/13964/,2019/2020,3,7,15,15,14,28,15.0,21.0,4.0,1.6469745793054065
https://en.khl.ru/players/13964/,2020/2021,8,9,21,19,6,39,12.0,26.0,3.0,2.057735894071335
https://en.khl.ru/players/14148/,2014/2015,6,6,17,13,20,46,23.0,15.0,13.0,2.2867337009406423
https://en.khl.ru/players/14148/,2015/2016,1,4,12,8,8,29,15.0,12.0,10.0,1.4652352209371975
https://en.khl.ru/players/14148/,2016/2017,8,5,14,11,14,86,38.0,14.0,15.0,1.5598493026944853
https://en.khl.ru/players/14148/,2017/2018,13,13,22,26,8,103,54.0,22.0,9.0,2.224513263809033
https://en.khl.ru/players/14148/,2018/2019,4,6,9,15,6,50,34.0,9.0,7.0,1.2055268770671694
https://en.khl.ru/players/14148/,2019/2020,6,11,17,20,14,96,39.0,19.0,10.0,1.7193159414974097
https://en.khl.ru/players/14148/,2020/2021,10,14,29,33,4,103,22.0,20.0,12.0,2.2422510441855352
https://en.khl.ru/players/14148/,2021/2022,4,3,14,8,6,24,28.0,12.0,8.0,1.8920719520319786
https://en.khl.ru/players/14164/,2016/2017,6,1,12,15,12,64,24.0,14.0,8.0,1.1762102001454453
https://en.khl.ru/players/14164/,2017/2018,7,2,13,22,40,73,70.0,19.0,12.0,1.028801471136403
https://en.khl.ru/players/14164/,2018/2019,4,6,15,21,22,66,42.0,19.0,6.0,1.082624151675105
https://en.khl.ru/players/14164/,2019/2020,4,7,17,27,19,72,56.0,36.0,8.0,1.0452295468547512
https://en.khl.ru/players/14164/,2020/2021,1,3,11,12,4,33,17.0,10.0,8.0,0.981565717021786
https://en.khl.ru/players/14257/,2014/2015,14,27,38,34,12,200,30.0,11.0,14.0,3.256415786068579
https://en.khl.ru/players/14257/,2015/2016,7,15,20,20,18,141,13.0,9.0,11.0,2.3741321551682284
https://en.khl.ru/players/14257/,2016/2017,4,12,21,13,10,84,17.0,5.0,8.0,2.8356001298748152
https://en.khl.ru/players/14257/,2017/2018,13,12,26,18,16,100,7.0,9.0,11.0,2.9363521471402834
https://en.khl.ru/players/14257/,2018/2019,12,23,35,23,20,121,17.0,10.0,6.0,3.009623043637381
https://en.khl.ru/players/14257/,2019/2020,17,16,33,35,24,149,26.0,17.0,15.0,2.3006289731256935
https://en.khl.ru/players/14257/,2020/2021,9,16,22,24,32,96,10.0,14.0,7.0,1.9956105618028372
https://en.khl.ru/players/14257/,2021/2022,2,5,10,9,8,64,8.0,5.0,6.0,1.2495511669658887
https://en.khl.ru/players/14262/,2018/2019,16,19,40,22,16,100,46.0,24.0,3.0,2.866345771054251
https://en.khl.ru/players/14262/,2019/2020,12,8,19,26,18,90,37.0,44.0,2.0,1.505607088467396
https://en.khl.ru/players/14262/,2020/2021,6,1,14,10,6,34,16.0,12.0,3.0,2.126474608880563
https://en.khl.ru/players/14262/,2021/2022,14,13,32,13,12,68,24.0,24.0,6.0,2.8550365257020305
https://en.khl.ru/players/14285/,2014/2015,8,5,23,17,49,64,15.0,14.0,15.0,1.2093726379440666
https://en.khl.ru/players/14285/,2015/2016,5,7,18,9,10,40,7.0,9.0,7.0,2.4720723782015885
https://en.khl.ru/players/14285/,2016/2017,1,4,9,15,14,20,13.0,15.0,3.0,0.742306304448683
