Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Icetime_seconds,Hits,Shots_blocked,Penalties_against,Rating
https://en.khl.ru/players/14308/,2017/2018,0,4,8,13,16,24,18661,26.0,20.0,0.0,24
https://en.khl.ru/players/14319/,2014/2015,3,4,15,2,14,29,29269,50.0,13.0,6.0,83
https://en.khl.ru/players/14319/,2015/2016,5,3,14,7,36,33,28934,69.0,18.0,5.0,73
https://en.khl.ru/players/14319/,2016/2017,1,9,19,15,14,39,45050,31.0,27.0,6.0,83
https://en.khl.ru/players/14319/,2017/2018,4,7,17,12,66,25,41301,44.0,30.0,5.0,58
https://en.khl.ru/players/14319/,2018/2019,1,5,11,15,14,19,32458,48.0,14.0,7.0,39
https://en.khl.ru/players/14362/,2014/2015,9,17,37,39,33,131,62571,49.0,44.0,14.0,198
https://en.khl.ru/players/14362/,2016/2017,6,4,17,8,13,59,30520,29.0,18.0,8.0,106
https://en.khl.ru/players/14362/,2017/2018,11,9,33,14,38,75,41044,52.0,14.0,12.0,175
https://en.khl.ru/players/14362/,2018/2019,6,9,19,10,42,66,45203,74.0,21.0,9.0,125
https://en.khl.ru/players/14362/,2019/2020,7,5,16,8,14,58,33478,34.0,22.0,10.0,118
https://en.khl.ru/players/14362/,2020/2021,14,14,40,20,28,108,51635,22.0,34.0,12.0,236
https://en.khl.ru/players/14362/,2021/2022,8,13,22,21,26,70,39278,29.0,19.0,8.0,134
https://en.khl.ru/players/14386/,2014/2015,4,3,12,10,24,27,17752,49.0,21.0,8.0,65
https://en.khl.ru/players/14386/,2015/2016,5,7,14,22,61,53,43031,109.0,38.0,15.0,77
https://en.khl.ru/players/14386/,2016/2017,3,0,5,7,14,14,18253,44.0,33.0,6.0,42
https://en.khl.ru/players/14430/,2014/2015,19,13,28,25,14,142,56120,48.0,22.0,12.0,246
https://en.khl.ru/players/14430/,2015/2016,13,12,24,28,20,123,54572,39.0,29.0,8.0,184
https://en.khl.ru/players/14430/,2016/2017,13,6,23,17,42,141,64633,30.0,38.0,11.0,167
https://en.khl.ru/players/14430/,2018/2019,2,4,19,15,8,47,33901,29.0,29.0,4.0,74
https://en.khl.ru/players/14430/,2019/2020,5,3,8,15,16,59,31935,21.0,24.0,4.0,53
https://en.khl.ru/players/14444/,2014/2015,12,10,33,17,20,58,39591,40.0,8.0,15.0,181
https://en.khl.ru/players/14444/,2015/2016,19,9,35,16,22,84,57873,35.0,26.0,14.0,235
https://en.khl.ru/players/14444/,2016/2017,9,3,17,18,10,66,44818,34.0,17.0,13.0,99
https://en.khl.ru/players/14444/,2017/2018,7,16,25,17,6,84,47985,56.0,19.0,15.0,185
https://en.khl.ru/players/14444/,2018/2019,3,2,9,13,10,23,23653,19.0,18.0,6.0,33
https://en.khl.ru/players/14444/,2019/2020,8,10,25,23,8,57,44060,12.0,21.0,4.0,121
https://en.khl.ru/players/14444/,2020/2021,7,4,13,19,6,39,23063,25.0,9.0,3.0,64
https://en.khl.ru/players/14444/,2021/2022,6,7,11,10,16,37,23259,16.0,13.0,3.0,77
https://en.khl.ru/players/14466/,2014/2015,18,57,56,24,22,110,78676,80.0,21.0,34.0,500
https://en.khl.ru/players/14466/,2015/2016,23,52,35,45,50,152,82777,48.0,21.0,39.0,407
https://en.khl.ru/players/14466/,2016/2017,30,65,73,34,30,124,73756,49.0,9.0,36.0,605
https://en.khl.ru/players/14466/,2017/2018,13,23,33,16,12,71,37390,23.0,5.0,10.0,243
https://en.khl.ru/players/14466/,2018/2019,21,55,56,32,40,132,90957,72.0,23.0,28.0,487
https://en.khl.ru/players/14466/,2019/2020,21,52,76,34,48,128,83039,42.0,31.0,18.0,493
https://en.khl.ru/players/14466/,2020/2021,21,53,63,35,32,155,82148,42.0,13.0,21.0,481
https://en.khl.ru/players/14466/,2021/2022,27,50,53,41,53,159,71558,40.0,21.0,17.0,458
https://en.khl.ru/players/14478/,2014/2015,5,7,15,17,16,34,39462,73.0,22.0,3.0,87
https://en.khl.ru/players/14478/,2015/2016,8,16,32,30,55,61,56470,70.0,31.0,12.0,154
https://en.khl.ru/players/14478/,2016/2017,8,15,33,27,47,64,57015,38.0,39.0,10.0,155
https://en.khl.ru/players/14478/,2017/2018,2,4,11,15,16,32,34601,53.0,22.0,8.0,49
https://en.khl.ru/players/14478/,2018/2019,2,3,8,17,8,25,28125,42.0,32.0,4.0,38
https://en.khl.ru/players/14478/,2019/2020,2,2,6,10,22,21,24398,15.0,16.0,6.0,21
https://en.khl.ru/players/14503/,2014/2015,3,5,12,22,28,51,30601,66.0,23.0,7.0,49
https://en.khl.ru/players/14503/,2015/2016,4,5,13,12,34,75,41766,51.0,38.0,14.0,94
https://en.khl.ru/players/14503/,2016/2017,1,0,2,6,10,26,25205,41.0,36.0,9.0,31
https://en.khl.ru/players/14503/,2017/2018,5,2,11,14,18,38,37837,80.0,79.0,5.0,95
https://en.khl.ru/players/14503/,2018/2019,6,3,18,15,18,37,30306,65.0,77.0,6.0,116
https://en.khl.ru/players/14503/,2019/2020,2,0,5,10,2,31,19134,63.0,35.0,0.0,42
https://en.khl.ru/players/14527/,2014/2015,9,9,27,4,14,100,49044,69.0,33.0,21.0,213
https://en.khl.ru/players/14527/,2015/2016,4,6,16,3,16,67,28855,64.0,20.0,20.0,127
https://en.khl.ru/players/14527/,2016/2017,5,9,21,11,40,58,46068,71.0,35.0,21.0,136
https://en.khl.ru/players/14527/,2017/2018,0,3,9,6,26,44,35474,59.0,25.0,17.0,58
https://en.khl.ru/players/14527/,2018/2019,7,12,33,29,52,59,62477,87.0,42.0,26.0,151
https://en.khl.ru/players/14527/,2019/2020,6,11,35,18,34,58,52765,89.0,33.0,15.0,168
https://en.khl.ru/players/14527/,2020/2021,4,16,27,15,36,50,46416,46.0,35.0,28.0,159
https://en.khl.ru/players/14527/,2021/2022,4,10,21,19,12,50,34460,28.0,21.0,11.0,103
https://en.khl.ru/players/14561/,2014/2015,3,10,15,17,24,60,46607,57.0,39.0,13.0,104
