Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Hits,Shots_blocked,Penalties_against,R,T1_Profile,T1_Year,T1_Goals,T1_Assists,T1_Plus,T1_Minus,T1_Penalties,T1_Shots,T1_Hits,T1_Shots_blocked,T1_Penalties_against,T1_R,predict
https://en.khl.ru/players/13253/,2018/2019,6,7,12,32,26,47,51.0,20.0,4.0,0.4393702359950737,https://en.khl.ru/players/13253/,2019/2020,0.0,0.0,3.0,11.0,14.0,14.0,5.0,14.0,3.0,-0.3038743985819194,0.6303737209421125
https://en.khl.ru/players/13277/,2014/2015,13,5,24,28,48,89,75.0,16.0,9.0,1.3357327050442462,https://en.khl.ru/players/13277/,2015/2016,11.0,10.0,22.0,24.0,14.0,63.0,48.0,27.0,6.0,2.1494749845583696,1.6031618909418126
https://en.khl.ru/players/13277/,2015/2016,11,10,22,24,14,63,48.0,27.0,6.0,2.1494749845583696,https://en.khl.ru/players/13277/,2016/2017,13.0,13.0,28.0,31.0,40.0,82.0,48.0,27.0,8.0,1.5021867275147365,1.6412499308797712
https://en.khl.ru/players/13277/,2016/2017,13,13,28,31,40,82,48.0,27.0,8.0,1.5021867275147365,https://en.khl.ru/players/13277/,2017/2018,15.0,13.0,29.0,22.0,36.0,91.0,45.0,27.0,11.0,2.03110983226418,1.7725988646674167
https://en.khl.ru/players/13277/,2017/2018,15,13,29,22,36,91,45.0,27.0,11.0,2.03110983226418,https://en.khl.ru/players/13277/,2018/2019,8.0,10.0,13.0,29.0,18.0,54.0,25.0,15.0,6.0,1.1595883461371213,1.5206885522952243
https://en.khl.ru/players/13277/,2018/2019,8,10,13,29,18,54,25.0,15.0,6.0,1.1595883461371213,https://en.khl.ru/players/13277/,2019/2020,8.0,6.0,22.0,18.0,18.0,33.0,26.0,31.0,4.0,1.5106303618052963,1.2227041142499753
https://en.khl.ru/players/13277/,2019/2020,8,6,22,18,18,33,26.0,31.0,4.0,1.5106303618052963,https://en.khl.ru/players/13277/,2020/2021,3.0,8.0,14.0,17.0,39.0,24.0,17.0,7.0,4.0,0.8069422652022159,1.1291534758438984
https://en.khl.ru/players/13679/,2014/2015,4,13,21,29,14,98,18.0,16.0,5.0,1.5122785922397448,https://en.khl.ru/players/13679/,2015/2016,16.0,20.0,33.0,35.0,49.0,171.0,16.0,27.0,14.0,2.213533455256354,2.224220715979623
https://en.khl.ru/players/13679/,2015/2016,16,20,33,35,49,171,16.0,27.0,14.0,2.213533455256354,https://en.khl.ru/players/13679/,2016/2017,1.0,10.0,16.0,13.0,18.0,72.0,6.0,17.0,2.0,1.5493390716261912,1.7734445650537234
https://en.khl.ru/players/13679/,2016/2017,1,10,16,13,18,72,6.0,17.0,2.0,1.5493390716261912,https://en.khl.ru/players/13679/,2017/2018,2.0,7.0,14.0,11.0,16.0,70.0,6.0,7.0,4.0,1.4814327100342377,1.6554838054283292
